第一部类　三洞真经
CH03-08 洞玄灵宝升玄步虚章序疏-正统道藏洞玄部赞颂类 3-074
CH03-09 洞玄灵宝自然九天生神章经-正统道藏洞玄部本文类 3-079
CH03-10 灵宝自然九天生神三宝大有金书-正统道藏洞真部谱录类3-085
CH03-11 洞玄灵宝自然九天生神玉章经解-正统道藏洞玄部玉诀类3-089
CH03-11-0 洞玄灵宝自然九天生神玉章经解序 3-089
CH03-11-1 洞玄灵宝自然九天生神玉章经解卷上 3-090
CH03-11-2 洞玄灵宝自然九天生神玉章经解卷中 3-105
CH03-11-3 洞玄灵宝自然九天生神玉章经解卷下 3-117
CH03-12 洞玄灵宝自然九天生神玉章经解义-正统道藏洞玄部玉诀3类-131
CH03-12-0 洞玄灵宝自然九天生神玉章经解义序说 3-131
CH03-12-1 洞玄灵宝自然九天生神玉章经解义卷一 3-133
CH03-12-2 洞玄灵宝自然九天生神玉章经解义卷二 3-144
CH03-12-3 洞玄灵宝自然九天生神玉章经解义卷三 3-152
CH03-12-4 洞玄灵宝自然九天生神玉章经解义卷四 3-164
CH03-13 洞玄灵宝自然九天生神玉章经注-正统道藏洞玄部玉诀类3-169
CH03-13-1 洞玄灵宝自然九天生神玉章经注 序 3-169
CH03-13-2 洞玄灵宝自然九天生神玉章经注 卷上 3-169



CH03-13-3 洞玄灵宝自然九天生神玉章经注 卷中 3-177
CH03-13-4 洞玄灵宝自然九天生神玉章经注 卷下 3-181
CH03-14 太上无极大道自然宜一五称符上经-正统道藏洞玄部神符3类-193
CH03-14-1 太上无极大道自然宜一五称符上经卷上 3-193
CH03-14-2 太上无极大道自然宜一五称符上经卷下 3-198
CH03-15 太上洞玄灵宝诸天内音自然玉宇-正统道藏洞真部玉诀类3-206
CH03-15-1 太上洞玄灵宝诸天内音自然玉字卷一 3-206
CH03-15-2 太上洞玄灵宝诸天内音自然玉字卷二 3-213
CH03-15-3 太上洞玄灵宝诸天内音自然玉字卷三 3-219
CH03-15-4 太上洞玄灵宝诸天内音自然玉字卷四 3-229
CH03-16 太上洞玄灵宝八威召龙妙经-正统道藏洞玄部本文类 3-239
CH03-16-1 太上洞玄灵宝八威召龙妙经卷上 3-239
CH03-16-2 太上洞玄灵宝八威召龙妙经卷下 3-243
CH03-17 太上洞玄灵宝智慧罪根上品大戒经-正统道藏洞玄部戒律3类-248
CH03-17-1 太上洞玄灵宝智慧罪根上品大戒经卷上 3-248
CH03-17-2 太上洞玄灵宝智慧罪根上品大戒经卷下 3-251
CH03-18 太上洞玄灵宝智慧上品大戒经(原题太上洞真智慧上品大3诫-2)5-8正统道藏洞玄部戒律类
CH03-19 太上洞玄灵宝上品戒经-正统道藏洞玄部戒律类 3-265
CH03-20 洞玄灵宝玉箓简文三元威仪自然真经-正统道藏洞玄部威3仪-2类68
CH03-21 太上洞玄灵宝下元黄录简文威仪经-敦煌本 3-273
CH03-22 洞玄灵宝长夜之府九幽玉匮明真科-正统道藏正一部 3-283
CH03-23 太上洞玄灵宝智慧定志通微经-正统道藏洞玄部本文类 3-299
CH03-24 太上洞玄灵宝真文度人本行妙经-敦煌本 3-308
CH03-25 太上洞玄灵宝真一劝诫法轮妙经-正统道藏洞玄部本文类3-313
CH03-25-1 太上洞玄灵宝真一劝诫法轮妙经 3-313
CH03-25-2 太上玄一真人说劝诫法轮妙经 3-315
CH03-25-3 太上玄一真人说三途五苦劝诫经 3-317
CH03-25-4 太上玄一真人说妙通转神入定经 3-322
CH03-26 太上洞玄灵宝元始无量度人上品妙经-敦煌本 3-325
CH03-27 云篆度人妙经-正统道藏洞真部神符类 3-331
CH03-28 洞玄灵宝度人经大梵隐语疏义-正统道藏洞真部玉诀类 3-341
CH03-29 洞玄灵宝无量度人经诀音义-正统道藏洞真部玉诀类 3-349
CH03-30 元始无量度人上品妙经四注-正统道藏洞真部玉诀类 3-353
CH03-30-0 元始无量度人上品妙经四注(两序) 3-353
CH03-30-1 元始无量度人上品妙经四注卷一 3-354
CH03-30-2 元始无量度人上品妙经四注卷二 3-366
CH03-30-3 元始无量度人上品妙经四注卷三 3-391
CH03-30-4 元始无量度人上品妙经四注卷四 3-408
CH03-30-5 元始无量度人上品妙经四注(经说.释音) 3-419
CH03-31 灵宝度人上品妙经旁通图-正统道藏洞真部灵图类 3-420
CH03-31-1 灵宝度人上品妙经旁通图卷上(原缺) 3-420
CH03-31-2 灵宝度人上品妙经旁通图 卷中 3-420
CH03-31-3 灵宝度人上品妙经旁通图 卷下 3-422
CH03-32 太上洞玄灵宝无量度人上品经法-正统道藏洞真部玉诀类3-426
CH03-32-0 太上洞玄灵宝无量度人上品经法 3-426
CH03-32-1 太上洞玄灵宝无量度人上品经法卷一 3-426
CH03-32-2 太上洞玄灵宝无量度人上品经法卷二 3-438



CH03-32-3 太上洞玄灵宝无量度人上品经法卷三 3-455
CH03-32-4 太上洞玄灵宝无量度人上品经法卷四 3-463
CH03-32-5 太上洞玄灵宝无量度人上品经法卷五 3-473
CH03-32-6 太上洞玄灵宝无量度人上品经法(诀) 3-476
CH03-33 灵宝无量度人上品妙经符图-正统道藏洞真部灵图类 3-479
CH03-33-0 灵宝无量度人上品妙经符图序 3-479
CH03-33-1 灵宝无量度人上品妙经符图卷上 3-480
CH03-33-2 灵宝无量度人上品妙经符图卷中 3-484
CH03-33-3 灵宝无量度人上品妙经符图卷下 3-495
CH03-34 元始无量度人上品妙经注-正统道藏洞真部玉诀类 3-505
CH03-34-0 元始无量度人上品妙经注序 3-505
CH03-34-1 元始无量度人上品妙经注卷上 3-505
CH03-34-2 元始无量度人上品妙经注卷中 3-517
CH03-34-3 元始无量度人上品妙经注卷下 3-531
CH03-34-4 元始无量度人上品妙经注(诵经应验) 3-548
CH03-35 元始无量度人上品妙经内义-正统道藏洞真部玉诀类 3-549

CH03-35-01 元始无量度人上品妙经内义(表) 3-549
CH03-35-02 元始无量度人上品妙经内义(经旨) 3-550
CH03-35-1 元始无量度人上品妙经内义卷一 3-553
CH03-35-2 元始无量度人上品妙经内义卷二 3-560
CH03-35-3 元始无量度人上品妙经内义卷三 3-571
CH03-35-4 元始无量度人上品妙经内义卷四 3-586
CH03-35-5 元始无量度人上品妙经内义卷五 3-598
CH03-35-6 元始无量度人上品妙经内义(纲目举要) 3-611
CH03-36 太上洞玄灵宝无量度人上品妙经注-正统道藏洞真部玉诀3类-615
CH03-36-0 太上洞玄灵宝无量度人上品妙经批注序 3-615
CH03-36-1 太上洞玄灵宝无量度人上品妙经注卷上 3-616
CH03-36-2 太上洞玄灵宝无量度人上品妙经注卷中 3-631
CH03-36-3 太上洞玄灵宝无量度人上品妙经注卷下 3-650
CH03-36-4 太上洞玄灵宝无量度人上品妙经注卷(诀) 3-665
CH03-37 元始无量度人上品妙经批注-正统道藏洞真部玉诀类 3-666
CH03-37-0 元始无量度人上品妙经批注-进经表 3-666
CH03-37-1 元始无量度人上品妙经批注-卷上 3-667
CH03-37-2 元始无量度人上品妙经批注-卷中 3-673
CH03-37-3 元始无量度人上品妙经批注-卷下 3-687
CH03-37-4 元始无量度人上品妙经批注-后序 3-693
CH03-38 元始无量度人上品妙经通义-正统道藏洞真部玉诀类 3-697
CH03-38-1 元始无量度人上品妙经通义卷一 3-697
CH03-38-2 元始无量度人上品妙经通义卷二 3-709
CH03-38-3 元始无量度人上品妙经通义卷三 3-719
CH03-38-4 元始无量度人上品妙经通义卷四 3-728
CH03-39 太上洞玄灵宝诸天灵书度命妙经-正统道藏洞真部本文类3-740
CH03-40 诸天灵书度命妙经义疏-正统道藏洞真部玉诀类 3-747
CH03-41 太上洞玄灵宝灭度五炼生尸妙经-正统道藏洞玄部本文类3-753
CH03-41-1 太上洞玄灵宝灭度五炼生尸妙经卷上 3-753
CH03-41-2 太上洞玄灵宝灭度五炼生尸妙经卷下 3-759
CH03-42 灵宝炼度五仙安灵镇神黄缯章法-正统道藏正一部 3-763



CH03-43 太上洞玄灵宝三元品戒功德轻重经-正统道藏洞玄部戒律3类-766
CH03-44 太上大道三元品戒谢罪上法-正统道藏洞玄部玉诀类 3-779
CH03-45 太上太玄女青三元品戒拔罪妙经-正统道藏洞真部本文类3-785
CH03-45-1 太上太玄女青三元品戒拔罪妙经卷上 3-785
CH03-45-2 太上太玄女青三元品戒拔罪妙经卷中 3-789
CH03-45-3 太上太玄女青三元品戒拔罪妙经卷下 3-792

序号 经目 页码
CH04 第四册目录 4-

洞玄灵宝部
CH04001 太上洞玄灵宝宿命因缘明经-正统道藏洞玄部本文类 4-001
CH04002 太上洞玄灵宝导引三光妙经-正统道藏洞真部本文类 4-005
CH04002-1 太上导引三光宝真妙经 4-005
CH04002-2 太上导引三光九变妙经 4-006
CH04003 洞玄灵宝二十四生图经-正统道藏正一部 4-010
CH04004 太上洞玄灵宝飞行三界通微内思妙经-正统道藏太平部 4-025
CH04005 太上洞玄灵宝芝草品-正统道藏正一部 4-031
CH04006 元始天尊说变化空洞妙经-正统道藏洞真部本文类 4-048
CH04007 太上洞玄灵宝五符序-正统道藏洞玄部神符类 4-054
CH04007-1 太上洞玄灵宝五符序卷上 4-054
CH04007-2 太上洞玄灵宝五符序卷中 4-063
CH04007-3 太上洞玄灵宝五符序卷下 4-076
CH04008 上清太极隐注玉经宝诀-正统道藏洞玄部玉诀类 4-084
CH04009 太上洞玄灵宝真文要解上经-正统道藏洞玄部本文类 4-091
CH04010 太上灵宝威仪洞玄真一自然经诀-敦煌本 4-097
CH04011 太极真人敷灵宝斋戒威仪诸经要诀-正统道藏洞玄部威仪4类-102
CH04012 太上洞玄灵宝安志智慧本愿大戒上品经-正统道藏洞玄部4本-1文11类
CH04013 太极左仙公请问经(原题太上洞玄灵宝本行宿缘经) 4-119
CH04013-1 太极左仙公请问经卷上 4-119
CH04013-2 太极左仙公请问经卷下 4-121
CH04014 仙人请问本行因缘众圣难经-敦煌本 4-127
CH04015 太上洞玄灵宝本行因缘经-正统道藏太平部 4-131
CH04016 太极真人问功德行业经-敦煌本 4-134
CH04017 太上洞玄灵宝众篇序经-敦煌本 4-136
CH04018 洞玄灵宝诸天世界造化经 4-145
CH04018-1 天尊说经开叙品第一 4-145
CH04018-2 昆仑山王四天下品第二 4-145
CH04018-3 日月旋照四天下及天上品第三 4-146
CH04018-4 天世界大洞品第四 4-147
CH04018-5 小劫大劫天地败成品第五 4-147
CH04018-6 九幽地狱品第六 4-148
CH04018-7 告众圣品第七 4-148
CH04019 太上洞玄灵宝天关经-正统道藏太玄部 4-150
CH04020 太上洞玄灵宝诫业本行上品妙经-正统道藏洞玄部本文类4-152
CH04021 太上洞玄灵宝三元无量寿经-正统道藏洞玄部本文类 4-162
CH04022 太上洞玄灵宝三元玉京玄都大献经-正统道藏洞玄部本文4类-167



CH04023 洞玄灵宝九真人五复三归行道观门经-正统道藏太玄部 4-178
CH04024 太上洞玄灵宝净供妙经-正统道藏洞玄部本文类 4-181
CH04025 洞玄灵宝太上六斋十直圣纪经-正统道藏正一部 4-185
CH04026 太上洞玄灵宝福日妙经-正统道藏洞玄部本文类 4-189
CH04027 太极真人说二十四门戒经-正统道藏洞真部戒律类 4-190
CH04028 太上十二品飞天法轮劝戒妙经-正统道藏洞真部戒律类 4-193
CH04029 太上洞玄灵宝净土生神经-敦煌本 4-197
CH04030 洞玄灵宝太上真人问疾经-正统道藏太平部 4-207

CH04030-00 洞玄灵宝太上真人问疾经序 4-207
CH04030-01 问疾品第一 4-208
CH04030-02 治耳戒神通普闻品第二 4-210
CH04030-03 治眼戒神通普见品第三 4-210
CH04030-04 治鼻戒神通普闻香品第四 4-210
CH04030-05 治耳戒神通普知味品第五 4-210
CH04030-06 治手戒神通普通力品第六 4-211
CH04030-07 治心戒神通普妙品第七 4-211
CH04030-08 语来生学仙一切人求欲果报品第八 4-211
CH04030-09 前劫时众生为功德受报品第九 4-212
CH04030-10 德覆譬喻品第十 4-212
CH04030-11 众生本行因缘受不善报品第十一 4-212
CH04030-12 众生行业受善报品第十二 4-213
CH04031 太上洞玄灵宝十号功德因缘妙经-正统道藏洞玄部本文类4-218
CH04032 太上洞玄灵宝三十二天天尊应号经-正统道藏太平部 4-221

卷一至卷十一，卷十三至卷二十一，卷二十三至二十六原缺
CH04032-12 太上洞玄灵宝三十二天天尊应号经卷十二 4-221
CH04032-22 太上洞玄灵宝三十二天天尊应号经卷二十二 4-225
CH04033 太上灵宝洪福灭罪像名经-正统道藏洞玄部本文类 4-229
CH04034 太上洞玄灵宝天尊名-敦煌本 4-242
CH04035 太上洞真贤门经-正统道藏洞真部本文类 4-251
CH04036 太上洞玄灵宝出家因缘经-正统道藏洞玄部本文类 4-262
CH04037 太上洞玄灵宝转神度命经-正统道藏洞玄部本文类 4-269
CH04038 太上洞玄灵宝十师度人妙经-正统道藏洞玄部本文类 4-273
CH04039 太上洞玄灵宝国王行道经-正统道藏太平部 4-277
CH04040 太上洞玄灵宝太玄普慈劝世经-正统道藏洞玄部本文类 4-282
CH04041 灵宝天尊说禄库受生经-正统道藏洞玄部本文类 4-286
CH04042 太上洞玄灵宝护诸童子经-正统道藏洞玄部本文类 4-288
CH04043 太上洞玄灵宝四方大愿经-正统道藏洞玄部本文类 4-290
CH04044 太清五十八愿文-正统道藏洞真部戒律类 4-292
CH04045 太上洞玄灵宝三途五苦拔度生妙经-正统道藏洞玄部本文4类-295
CH04046 太上洞玄灵宝往生救苦妙经-正统道藏洞玄部本文类 4-298
CH04047 天尊说随愿往生罪福报对次说预修文妙经-敦煌本 4-304
CH04048 太上洞玄灵宝天尊说济苦经-正统道藏洞玄部本文类 4-310
CH04049 灵真戒拔除生济苦经-敦煌本 4-312
CH04050 太上洞玄灵宝救苦妙经-正统道藏洞玄部本文类 4-314
CH04051 太上洞玄灵宝天尊说救苦妙经注解-正统道藏洞玄部玉诀4类-316
CH04052 太一救苦护身妙经-正统道藏洞玄部本文类 4-326
CH04053 太上救苦天尊说消愆灭罪经-正统道藏洞玄部本文类 4-328



CH04054 太上三生解冤妙经-正统道藏洞玄部本文类 4-329
CH04055 太上洞玄灵宝五显观华光本行妙经-续道藏 4-331
CH04056 太上灵宝天尊说禳灾度厄经-正统道藏洞玄部本文类 4-335
CH04057 太上灵宝天尊说延寿妙经-正统道藏洞玄部本文类 4-336
CH04058 太上洞玄灵宝消禳火灾经-正统道藏洞玄部本文类 4-337
CH04059 太上洞玄灵宝天尊说养蚕营种经-正统道藏洞玄部本文类4-338
CH04060 太上说利益蚕王妙经-正统道藏洞玄部本文类 4-341
CH04061 太上灵宝补谢灶王经-正统道藏洞玄部本文类 4-342
CH04062 太上洞真安灶经-正统道藏洞真部本文类 4-344
CH04063 太上说牛癀妙经-正统道藏洞玄部本文类 4-345
CH04064 太上元始天尊说消殄虫蝗经-正统道藏洞真部本文类 4-346
CH04065 太上安镇九垒龙神妙经-正统道藏洞真部本文类 4-347
CH04066 洞玄灵宝五岳古本真形图-正统道藏洞玄部灵图类 4-348
CH04067 五岳真形图序论-正统道藏正一部 4-358
CH04068 玄览人鸟山经图-正统道藏洞玄部灵图类 4-367
CH04069 太上洞玄灵宝五岳神符-正统道藏洞玄部神符类 4-370
CH04070 上清金母求仙上法-正统道藏洞玄部神符类 4-375
CH04071 太上洞玄灵宝众简文-正统道藏洞玄部玉诀类 4-383
CH04072 太上洞玄灵宝投简符文要诀-正统道藏洞玄部神符类 4-388
CH04073 太上洞玄灵宝五帝醮祭招真玉诀-正统道藏洞玄部玉诀类4-398
CH04074 洞玄灵宝真人修行延年益算法-正统道藏正一部 4-401
CH04075 洞玄灵宝道士明镜法-正统道藏正一部 4-405
CH04076 灵宝施食法-续道藏 4-406
CH04077 洞玄灵宝斋说光烛戒罚灯祝愿仪-正统道藏洞玄部威仪类4-408
CH04077-1 烛光斋外说 4-408
CH04077-2 法烛叙 4-409
CH04077-3 授上品十戒选署禁罚 4-410
CH04078 太上洞玄灵宝法烛经-正统道藏洞玄部本文类 4-415
CH04079 太上洞玄灵宝授度仪-正统道藏洞玄部威仪类 4-419
CH04079-1 太上洞玄灵宝授度仪表 4-419
CH04079-2 太上洞玄灵宝授度仪 4-420
CH04079-3 明日登坛告大盟次第法 4-422
CH04079-4 度上部八景 4-429
CH04079-5 度中部八景 4-429
CH04079-6 度下部八景 4-429
CH04079-7 次度策文 4-430
CH04080 太上洞玄灵宝二部传授仪-正统道藏正一部 4-438
CH04081 太上洞玄灵宝大纲钞-正统道藏洞玄部神符类 4-442
CH04082 灵宝九幽长夜起尸度亡玄章-正统道藏洞玄部赞诵类 4-444
CH04083 洞玄灵宝六甲玉女上宫歌章-正统道藏洞玄部赞诵类 4-448
CH04084 太上洞玄灵宝智慧礼赞-正统道藏洞玄部赞诵类 4-450

洞神三皇部
CH04085 三皇内文遗秘-正统道藏洞神部本文类 4-453
CH04086 太清金阙玉华仙书八极神章三皇内秘文-正统道藏洞神部4方-4法58类
CH04086-0 太清金阙玉华仙书八极神章三皇内秘文序 4-458
CH04086-1 太清金阙玉华仙书八极神章三皇内秘文卷上 4-458
CH04086-2 太清金阙玉华仙书八极神章三皇内秘文卷中 4-470



CH04086-3 太清金阙玉华仙书八极神章三皇内秘文卷下 4-474
CH04087 洞神八帝妙精经-正统道藏洞神部本文类 4-479
CH04088 洞神八帝元变经-正统道藏正一部 4-490

CH04088-00 洞神八帝元变经序 4-490
CH04088-01 提纲纪目第一 4-491
CH04088-02 神图行能第二 4-491
CH04088-03 论时节要第三 4-493
CH04088-04 禹步致灵第四 4-494
CH04088-05 服符见鬼第五 4-495
CH04088-06 饵药通神第六 4-496
CH04088-07 神室处所第七 4-497
CH04088-08 术人服膳第八 4-498
CH04088-09 斋中供洁第九 4-498
CH04088-10 布坐奠肴第十 4-498
CH04088-11 微验见形第十一 4-499
CH04088-12 浅取轻用第十二 4-500
CH04088-13 持神驭伏第十三 4-500
CH04088-14 诫身保命第十四 4-501
CH04088-15 先达已验第十五 4-502
CH04089 太上洞神行道授度仪-正统道藏正一部 4-504
